code,country,lrgdpmad,madid,polity4,year,noextrapolation,code_numeric,year_numeric,sample
NIC,Nicaragua,6.185911,2004,0.25,1875,0,121,2,1
NIC,Nicaragua,6.656731,2004,0.25,1900,0,121,3,1
NIC,Nicaragua,7.467371,2004,0.35,1925,0,121,4,1
NIC,Nicaragua,7.387578,2004,0.1,1950,0,121,5,1
NIC,Nicaragua,8.048553,2004,0.1,1975,0,121,6,1
NIC,Nicaragua,7.351427,2004,0.9,2000,0,121,7,1
NLD,Netherlands,7.516421,1102,0.35,1850,1,122,1,1
NLD,Netherlands,7.921821,1102,0.35,1875,1,122,2,1
NLD,Netherlands,8.138439,1102,0.4,1900,1,122,3,1
NLD,Netherlands,8.646253,1102,1,1925,1,122,4,1
NLD,Netherlands,8.698869,1102,1,1950,1,122,5,1
NLD,Netherlands,9.50104,1102,1,1975,1,122,6,1
NLD,Netherlands,9.980022,1102,1,2000,1,122,7,1
NOR,Norway,7.006807,1108,0.15,1850,1,123,1,1
NOR,Norway,7.267021,1108,0.3,1875,1,123,2,1
NOR,Norway,7.569012,1108,1,1900,1,123,3,1
NOR,Norway,8.152537,1108,1,1925,1,123,4,1
NOR,Norway,8.605788,1108,1,1950,1,123,5,1
NOR,Norway,9.40759,1108,1,1975,1,123,6,1
NOR,Norway,10.10088,1108,1,2000,1,123,7,1
SLV,El Salvador,6.454873,2004,0.45,1850,0,146,1,1
SLV,El Salvador,6.185911,2004,0.45,1875,0,146,2,1
SLV,El Salvador,6.656731,2004,0.45,1900,0,146,3,1
SLV,El Salvador,6.948067,2004,0.2,1925,0,146,4,1
SLV,El Salvador,7.305735,2004,0.2,1950,0,146,5,1
SLV,El Salvador,7.825524,2004,0.45,1975,0,146,6,1
SLV,El Salvador,7.90675,2004,0.85,2000,0,146,7,1
SWE,Sweden,7.088787,1140,0.15,1850,1,152,1,1
SWE,Sweden,7.415506,1140,0.3,1875,1,152,2,1
SWE,Sweden,7.84814,1140,0.3,1900,1,152,3,1
SWE,Sweden,8.26073,1140,1,1925,1,152,4,1
SWE,Sweden,8.815701,1140,1,1950,1,152,5,1
SWE,Sweden,9.559824,1140,1,1975,1,152,6,1
SWE,Sweden,9.919415,1140,1,2000,1,152,7,1
THA,Thailand,6.470935,2006,0,1850,0,158,1,1
THA,Thailand,6.568127,2006,0,1875,0,158,2,1
THA,Thailand,6.433823,2006,0,1900,0,158,3,1
THA,Thailand,6.676451,2006,0,1925,0,158,4,1
THA,Thailand,6.705699,2006,0.35,1950,0,158,5,1
THA,Thailand,7.580046,2006,0.65,1975,0,158,6,1
THA,Thailand,8.753962,2006,0.95,2000,0,158,7,1
TUR,Turkey,6.466209,3002,0,1850,0,163,1,1
TUR,Turkey,6.715384,3002,0,1875,0,163,2,1
TUR,Turkey,6.457736,3002,0,1900,0,163,3,1
TUR,Turkey,7.101123,3002,0.2,1925,0,163,4,1
TUR,Turkey,7.39199,3002,0.85,1950,0,163,5,1
TUR,Turkey,8.267395,3002,0.95,1975,0,163,6,1
TUR,Turkey,8.79441,3002,0.85,2000,0,163,7,1
URY,Uruguay,6.569764,2010,0.35,1850,0,168,1,1
URY,Uruguay,7.687428,2010,0.35,1875,0,168,2,1
URY,Uruguay,7.704622,2010,0.35,1900,0,168,3,1
URY,Uruguay,8.255173,2010,0.65,1925,0,168,4,1
URY,Uruguay,8.446642,2010,0.5,1950,0,168,5,1
URY,Uruguay,8.598068,2010,0.1,1975,0,168,6,1
URY,Uruguay,8.969434,2010,1,2000,0,168,7,1
USA,United States,7.136633,1157,0.95,1850,1,169,1,1
USA,United States,7.801645,1157,1,1875,1,169,2,1
USA,United States,8.316493,1157,1,1900,1,169,3,1
USA,United States,8.839091,1157,1,1925,1,169,4,1
USA,United States,9.165484,1157,1,1950,1,169,5,1
USA,United States,9.697916,1157,1,1975,1,169,6,1
USA,United States,10.24457,1157,1,2000,1,169,7,1
VEN,"Venezuela, RB",6.569764,2010,0.25,1850,0,172,1,1
VEN,"Venezuela, RB",6.344351,2010,0.25,1875,0,172,2,1
VEN,"Venezuela, RB",6.710747,2010,0.35,1900,0,172,3,1
VEN,"Venezuela, RB",8.13929,2010,0.05,1925,0,172,4,1
VEN,"Venezuela, RB",8.917573,2010,0.35,1950,0,172,5,1
VEN,"Venezuela, RB",9.256427,2010,0.95,1975,0,172,6,1
VEN,"Venezuela, RB",9.037739,2010,0.85,2000,0,172,7,1
