code,code_numeric,country,fhpolrigaug,lrgdpch,polity4,year,year_numeric,sample
ADO,1,Andorra,,,,1940,8,0
ADO,1,Andorra,,,,1960,9,1
ADO,1,Andorra,,,,1980,10,1
ADO,1,Andorra,1,,,2000,11,1
AFG,2,Afghanistan,,,0.1,1940,8,0
AFG,2,Afghanistan,0.14,,0,1960,9,1
AFG,2,Afghanistan,0,,0.15,1980,10,1
AFG,2,Afghanistan,0,,0.15,2000,11,1
AGO,3,Angola,,,,1940,8,0
AGO,3,Angola,,7.812518,,1960,9,0
AGO,3,Angola,0,7.563512,0.15,1980,10,0
AGO,3,Angola,0.1666667,,0.35,2000,11,1
ALB,4,Albania,,,,1940,8,0
ALB,4,Albania,0.2,,0.05,1960,9,1
ALB,4,Albania,0,,0.05,1980,10,1
ALB,4,Albania,0.5,8.1156,0.75,2000,11,1
ARE,5,United Arab Emirates,,,,1940,8,0
ARE,5,United Arab Emirates,,,,1960,9,0
ARE,5,United Arab Emirates,0.3333333,,0.1,1980,10,0
ARE,5,United Arab Emirates,0.1666667,,0.1,2000,11,1
ARG,6,Argentina,,,0.75,1940,8,0
ARG,6,Argentina,0.63,8.905374,0.45,1960,9,1
ARG,6,Argentina,0.1666667,9.271142,0.05,1980,10,1
ARG,6,Argentina,1,9.306237,0.9,2000,11,1
ARM,7,Armenia,,,,1940,8,0
ARM,7,Armenia,,,,1960,9,0
ARM,7,Armenia,,,,1980,10,0
ARM,7,Armenia,0.5,7.934454,0.75,2000,11,0
ATG,8,Antigua,,,,1940,8,0
ATG,8,Antigua,,,,1960,9,0
ATG,8,Antigua,,8.995663,,1980,10,0
ATG,8,Antigua,0.5,9.722494,,2000,11,0
AUS,9,Australia,,,1,1940,8,0
AUS,9,Australia,1,9.277876,1,1960,9,1
AUS,9,Australia,1,9.748026,1,1980,10,1
AUS,9,Australia,1,10.14875,1,2000,11,1
AUT,10,Austria,,,,1940,8,0
AUT,10,Austria,0.97,8.900677,1,1960,9,1
AUT,10,Austria,1,9.666615,1,1980,10,1
AUT,10,Austria,1,10.07224,1,2000,11,1
AZE,11,Azerbaijan,,,,1940,8,0
AZE,11,Azerbaijan,,,,1960,9,0
AZE,11,Azerbaijan,,,,1980,10,0
AZE,11,Azerbaijan,0.1666667,7.936543,0.15,2000,11,0
BAD,12,Baden,,,,1940,8,0
BAD,12,Baden,,,,1960,9,0
BAD,12,Baden,,,,1980,10,0
BAD,12,Baden,,,,2000,11,0
BAV,13,Bavaria,,,,1940,8,0
BAV,13,Bavaria,,,,1960,9,0
BAV,13,Bavaria,,,,1980,10,0
BAV,13,Bavaria,,,,2000,11,0
BDI,14,Burundi,,,,1940,8,0
BDI,14,Burundi,0.31,6.283445,,1960,9,0
BDI,14,Burundi,0,6.623969,0.15,1980,10,0
BDI,14,Burundi,0.1666667,6.25998,0.45,2000,11,1
BEL,15,Belgium,,,,1940,8,0
BEL,15,Belgium,1,8.95908,1,1960,9,1
BEL,15,Belgium,1,9.700546,1,1980,10,1
BEL,15,Belgium,1,10.07665,1,2000,11,1
BEN,16,Benin,,,,1940,8,0
BEN,16,Benin,0.55,6.972244,0.6,1960,9,0
BEN,16,Benin,0,6.907778,0.15,1980,10,1
BEN,16,Benin,0.8333333,7.101663,0.8,2000,11,1
BFA,17,Burkina Faso,,,,1940,8,0
BFA,17,Burkina Faso,0.14,6.626073,0.15,1960,9,0
BFA,17,Burkina Faso,0.1666667,6.639576,0.15,1980,10,1
BFA,17,Burkina Faso,0.5,6.863626,0.35,2000,11,1
BGD,18,Bangladesh,,,,1940,8,0
BGD,18,Bangladesh,,6.963459,,1960,9,0
BGD,18,Bangladesh,0.6666667,6.880692,0.3,1980,10,0
BGD,18,Bangladesh,0.6666667,7.428857,0.8,2000,11,1
BGR,19,Bulgaria,,,0,1940,8,0
BGR,19,Bulgaria,0.23,,0.15,1960,9,1
BGR,19,Bulgaria,0,,0.15,1980,10,1
BGR,19,Bulgaria,0.8333333,8.663001,0.9,2000,11,1
BHR,20,Bahrain,,,,1940,8,0
BHR,20,Bahrain,,,,1960,9,0
BHR,20,Bahrain,0.3333333,,0,1980,10,0
BHR,20,Bahrain,0,,0.05,2000,11,1
BHS,21,Bahamas,,,,1940,8,0
BHS,21,Bahamas,,,,1960,9,0
BHS,21,Bahamas,1,,,1980,10,0
BHS,21,Bahamas,1,,,2000,11,1
BIH,22,Bosnia and Herzegovina,,,,1940,8,0
BIH,22,Bosnia and Herzegovina,,,,1960,9,0
BIH,22,Bosnia and Herzegovina,,,,1980,10,0
BIH,22,Bosnia and Herzegovina,0.3333333,,,2000,11,0
BLR,23,Belarus,,,,1940,8,0
BLR,23,Belarus,,,,1960,9,0
BLR,23,Belarus,,,,1980,10,0
BLR,23,Belarus,0.1666667,9.03808,0.15,2000,11,0
BLZ,24,Belize,,,,1940,8,0
BLZ,24,Belize,,,,1960,9,0
BLZ,24,Belize,,8.448585,,1980,10,0
BLZ,24,Belize,1,8.79349,,2000,11,0
BOL,25,Bolivia,,,0.25,1940,8,0
BOL,25,Bolivia,0.6,7.763807,0.35,1960,9,1
BOL,25,Bolivia,0,8.023971,0.15,1980,10,1
BOL,25,Bolivia,1,7.909896,0.95,2000,11,1
BRA,26,Brazil,,,0.15,1940,8,0
BRA,26,Brazil,0.91,7.771254,0.8,1960,9,1
BRA,26,Brazil,0.5,8.760891,0.3,1980,10,1
BRA,26,Brazil,0.6666667,8.880447,0.9,2000,11,1
BRB,27,Barbados,,,,1940,8,0
BRB,27,Barbados,,8.130892,,1960,9,0
BRB,27,Barbados,1,9.230895,,1980,10,0
BRB,27,Barbados,1,9.705969,,2000,11,1
BRN,28,Brunei,,,,1940,8,0
BRN,28,Brunei,,,,1960,9,0
BRN,28,Brunei,0.1666667,,,1980,10,0
BRN,28,Brunei,0,,,2000,11,0
BTN,29,Bhutan,,,0,1940,8,0
BTN,29,Bhutan,,,0.1,1960,9,1
BTN,29,Bhutan,0.3333333,,0.1,1980,10,1
BTN,29,Bhutan,0,,0.1,2000,11,1
BWA,30,Botswana,,,,1940,8,0
BWA,30,Botswana,,6.864856,,1960,9,0
BWA,30,Botswana,0.8333333,8.141397,0.85,1980,10,0
BWA,30,Botswana,0.8333333,,0.95,2000,11,1
CAF,31,Central African Republic,,,,1940,8,0
CAF,31,Central African Republic,0.65,7.685929,0.15,1960,9,0
CAF,31,Central African Republic,0,7.493813,0.15,1980,10,1
CAF,31,Central African Republic,0.6666667,,0.75,2000,11,1
CAN,32,Canada,,,1,1940,8,0
CAN,32,Canada,1,9.247975,1,1960,9,1
CAN,32,Canada,1,9.851376,1,1980,10,1
CAN,32,Canada,1,10.20005,1,2000,11,1
CHE,33,Switzerland,,,1,1940,8,0
CHE,33,Switzerland,1,9.614354,1,1960,9,1
CHE,33,Switzerland,1,10.01333,1,1980,10,1
CHE,33,Switzerland,1,10.18164,1,2000,11,1
CHL,34,Chile,,,0.6,1940,8,0
CHL,34,Chile,1,8.256587,0.75,1960,9,1
CHL,34,Chile,0.1666667,8.59636,0.15,1980,10,1
CHL,34,Chile,0.8333333,9.202866,0.95,2000,11,1
CHN,35,China,,,,1940,8,0
CHN,35,China,0.23,6.524397,0.1,1960,9,1
CHN,35,China,0.1666667,6.974238,0.15,1980,10,1
CHN,35,China,0,8.22879,0.15,2000,11,1
CIV,36,Cote d'Ivoire,,,,1940,8,0
CIV,36,Cote d'Ivoire,0.43,7.395059,0.05,1960,9,0
CIV,36,Cote d'Ivoire,0.1666667,7.834884,0.05,1980,10,1
CIV,36,Cote d'Ivoire,0.1666667,7.533251,0.7,2000,11,1
CMR,37,Cameroon,,,,1940,8,0
CMR,37,Cameroon,0.73,7.426562,0.2,1960,9,0
CMR,37,Cameroon,0.1666667,7.662082,0.1,1980,10,1
CMR,37,Cameroon,0,7.62151,0.3,2000,11,1
COG,38,"Congo, Rep.",,,,1940,8,0
COG,38,"Congo, Rep.",0.71,6.200138,0.7,1960,9,0
COG,38,"Congo, Rep.",0,7.354609,0.1,1980,10,1
COG,38,"Congo, Rep.",0.1666667,7.500045,0.2,2000,11,1
COL,39,Colombia,,,0.75,1940,8,0
COL,39,Colombia,0.7,7.83598,0.85,1960,9,1
COL,39,Colombia,0.8333333,8.369085,0.9,1980,10,1
COL,39,Colombia,0.5,8.591086,0.85,2000,11,1
COM,40,Comoros,,,,1940,8,0
COM,40,Comoros,,7.563939,,1960,9,0
COM,40,Comoros,0.5,7.63765,0.25,1980,10,0
COM,40,Comoros,0.1666667,7.363977,0.45,2000,11,1
CPV,41,Cape Verde,,,,1940,8,0
CPV,41,Cape Verde,,6.902211,,1960,9,0
CPV,41,Cape Verde,0.1666667,7.571468,,1980,10,0
CPV,41,Cape Verde,1,8.300804,,2000,11,1
CRI,42,Costa Rica,,,1,1940,8,0
CRI,42,Costa Rica,0.91,8.153575,1,1960,9,1
CRI,42,Costa Rica,1,8.597603,1,1980,10,1
CRI,42,Costa Rica,1,8.677622,1,2000,11,1
CUB,43,Cuba,,,0.65,1940,8,0
CUB,43,Cuba,0.14,,,1960,9,1
CUB,43,Cuba,0.1666667,,0.15,1980,10,1
CUB,43,Cuba,0,,0.15,2000,11,1
CYP,44,Cyprus,,,,1940,8,0
CYP,44,Cyprus,0.86,7.997364,0.9,1960,9,0
CYP,44,Cyprus,0.6666667,8.957566,1,1980,10,1
CYP,44,Cyprus,1,,1,2000,11,1
CZE,45,Czech Republic,,,,1940,8,0
CZE,45,Czech Republic,,,,1960,9,0
CZE,45,Czech Republic,,,,1980,10,0
CZE,45,Czech Republic,1,9.522665,1,2000,11,0
CZE_1,46,Czechoslovakia,,,,1940,8,0
CZE_1,46,Czechoslovakia,0.22,,0.15,1960,9,1
CZE_1,46,Czechoslovakia,0,,0.15,1980,10,1
CZE_1,46,Czechoslovakia,,,,2000,11,1
DEU,47,Germany,,,0.05,1940,8,0
DEU,47,Germany,,,,1960,9,1
DEU,47,Germany,,9.6754,,1980,10,1
DEU,47,Germany,1,10.03695,1,2000,11,1
DEU_E,48,"Germany, East",,,,1940,8,0
DEU_E,48,"Germany, East",0.2,,0.05,1960,9,1
DEU_E,48,"Germany, East",0,,0.05,1980,10,1
DEU_E,48,"Germany, East",,,,2000,11,1
DEU_W,49,"Germany, West",,,,1940,8,0
DEU_W,49,"Germany, West",0.88,,1,1960,9,1
DEU_W,49,"Germany, West",1,,1,1980,10,1
DEU_W,49,"Germany, West",,,,2000,11,1
DJI,50,Djibouti,,,,1940,8,0
DJI,50,Djibouti,,,,1960,9,0
DJI,50,Djibouti,0.6666667,,0.1,1980,10,0
DJI,50,Djibouti,0.5,,0.6,2000,11,1
DMA,51,Dominica,,,,1940,8,0
DMA,51,Dominica,,,,1960,9,0
DMA,51,Dominica,0.8333333,8.126091,,1980,10,0
DMA,51,Dominica,1,8.906344,,2000,11,1
DNK,52,Denmark,,,,1940,8,0
