code,country,consfirstaug,indcent,indyear,logem4,lpd1500s,madid,rel_catho80,rel_muslim80,rel_protmg80,growth,democ,world,colony
ADO,Andorra,,18,1800,,,1001,,,,3.455848,,1,0
AFG,Afghanistan,0,19.19,1919,4.540098,2.120264,3002,0,0.993,0,-0.0848947,0.15,1,1
AGO,Angola,0.3333333,19.75,1975,5.634789,0.4054651,2011,0.687,0,0.198,0.6444693,0.35,1,1
ALB,Albania,0.6666667,19.12,1912,,1.987774,2009,,,,1.675993,0.75,1,0
ARE,United Arab Emirates,0.3333333,19.71,1971,,0,3002,0.004,0.949,0.003,3.372619,0.1,1,0
ARG,Argentina,0,18.16,1816,4.232656,-2.210722,5001,0.916,0.002,0.027,2.713703,0.9,1,1
ATG,Antigua,,19.81,1981,,0.3784365,5001,,,,2.297351,,1,1
AUS,Australia,1,19.01,1901,2.145931,-3.648357,1009,0.296,0.002,0.235,3.986219,1,1,1
AUT,Austria,0,18,1800,,3.18532,1010,0.888,0.006,0.065,3.347301,1,1,0
BDI,Burundi,0.1481481,19.62,1962,5.634789,3.218876,2011,0.7830001,0.009,0.049,0.3280602,0.45,1,1
BEL,Belgium,0.6666667,18.3,1830,,3.639861,1015,0.9,0.011,0.004,3.165714,0.95,1,0
BEN,Benin,0.125,19.6,1960,5.585449,1.442202,2011,0.185,0.152,0.028,1.161583,0.8,1,1
BFA,Burkina Faso,0.2,19.6,1960,5.634789,1.442202,2011,0.09,0.43,0.016,0.722393,0.35,1,1
BGD,Bangladesh,0.3148148,19.71,1971,4.268438,3.165475,3002,0.002,0.859,0.002,0.4302096,0.8,1,1
BGR,Bulgaria,0.1851852,18.78,1878,,1.979144,2009,0.005,0.106,0.004,2.38107,0.9,1,0
BHR,Bahrain,0.0666667,19.71,1971,,0,3002,0.008,0.95,0.009,2.188017,0.05,1,0
BHS,Bahamas,,19.73,1973,4.442651,0.3784365,5001,0.255,0,0.472,2.297351,,1,1
BLZ,Belize,,19.81,1981,5.095589,0.4317824,5001,0.668,0,0.132,2.297351,,1,1
BOL,Bolivia,0.3333333,18.25,1825,4.26268,-0.1863689,5001,0.925,0,0.023,1.51428,0.95,1,1
BRA,Brazil,0,18.22,1822,4.26268,-2.134937,1020,0.878,0.001,0.04,2.631244,0.9,1,1
BRB,Barbados,,19.66,1966,4.442651,0.3784364,5001,0.059,0.002,0.332,2.297351,,1,1
BRN,Brunei,,19.84,1984,,,3002,,,,1.543368,,1,1
BTN,Bhutan,0,19.07,1907,,,3002,0,0.05,0,1.543368,0.1,1,1
BWA,Botswana,0.6666667,19.66,1966,,-1.966113,2011,0.094,0,0.268,2.351604,0.95,1,1
CAF,Central African Republic,0,19.6,1960,5.634789,0.4054651,2011,0.331,0.032,0.5,0.4462757,0.75,1,1
CAN,Canada,1,18.67,1867,2.778819,-3.830918,1027,0.466,0.006,0.296,4.016289,1,1,1
CHE,Switzerland,1,18,1800,,3.007046,1141,0.528,0.003,0.432,3.550565,0.9,1,0
CHL,Chile,0,18.1,1810,4.232656,-0.2215423,5001,0.821,0,0.019,2.855033,0.95,1,1
CHN,China,0,18,1800,4.770685,2.46763,1032,0,0.024,0,1.742018,0.15,1,0
CIV,Cote d'Ivoire,0,19.6,1960,6.504288,1.442202,2011,0.185,0.24,0.047,1.164257,0.7,1,1
CMR,Cameroon,0.3333333,19.6,1960,5.634789,0.4054651,2011,0.35,0.22,0.181,0.9904609,0.3,1,1
COG,"Congo, Rep.",0.3833333,19.6,1960,5.480639,0.4054651,2011,0.539,0.004,0.249,1.676822,0.2,1,1
COL,Colombia,0.3333333,18.1,1810,4.26268,-0.0379699,5001,0.966,0.002,0.009,2.196941,0.85,1,1
COM,Comoros,0.3166667,19.75,1975,,1.500584,2011,0.001,0.997,0.001,0.3387346,0.45,1,1
CPV,Cape Verde,,19.75,1975,,-0.6931472,2011,0.959,0,0.03,1.456554,,1,1
CRI,Costa Rica,0.3333333,18.21,1821,4.35799,0.4317824,5001,0.905,0,0.058,2.388829,1,1,1
CUB,Cuba,0.3333333,19.02,1902,,-0.7985078,5001,0.32,0,0.008,1.449782,0.15,1,1
CYP,Cyprus,0.9333333,19.6,1960,,,1001,,,,3.455848,1,1,0
CZE_1,Czechoslovakia,1,18,1800,,3.658932,2009,0.392,0,0.046,2.856375,,1,0
DEU,Germany,0.3333333,18.71,1871,,,1056,0.35,0.0002,0.464,3.296905,1,1,0
DEU_E,"Germany, East",0.1833333,18.71,1871,,,1056,0.35,0.0002,0.464,3.296905,,1,0
DEU_W,"Germany, West",1,18.71,1871,,,1056,0.35,0.0002,0.464,3.296905,,1,0
DJI,Djibouti,0.1666667,19.77,1977,3.258096,,2011,0.067,0.906,0.002,0.9795089,0.6,1,1
DMA,Dominica,,19.78,1978,,0.3784365,5001,,,,2.297351,,1,1
DNK,Denmark,0,18,1800,,2.649074,1042,0.006,0.002,0.952,3.43931,0.9,1,0
DOM,Dominican Republic,0.3333333,18.44,1844,4.867535,0.3784365,5001,0.966,0,0.014,1.866842,0.9,1,1
DZA,Algeria,0.05,19.62,1962,4.35927,1.945579,2011,0.005,0.991,0,1.908826,0.35,1,1
ECU,Ecuador,0.3333333,18.22,1822,4.26268,0.77349,5001,0.964,0,0.019,1.700095,0.8,1,1
EGY,"Egypt, Arab Rep.",0.75,19.22,1922,4.216562,4.609731,1046,0.002,0.818,0.002,1.816061,0.2,1,1
ESP,Spain,0,18,1800,,2.56607,1136,0.969,0,0.001,3.139772,1,1,0
EST,Estonia,1,19.18,1918,,-0.3424903,4001,0.02,0.0001,0.66,3.083397,0.8,1,0
ETH_1,Ethiopia -pre 1993,1,18,1800,3.258096,1.89712,2011,0.007,0.314,0.038,0.4110484,,1,0
FIN,Finland,1,19.17,1917,,1.294149,1051,0.001,0,0.931,3.79856,1,1,0
FJI,Fiji,1,19.7,1970,2.433613,,3002,0.09,0.078,0.391,1.543368,0.75,1,1
FRA,France,0,18,1800,1.05779,3.305705,1052,0.764,0.03,0.024,3.353542,0.85,1,0
GAB,Gabon,0.1333333,19.6,1960,5.634789,0.4054651,2011,0.652,0.008,0.188,2.239409,0.3,1,1
GBR,United Kingdom,1,18,1800,0.9360933,2.867391,1156,0.131,0.014,0.161,3.323291,0.9,1,0
GHA,Ghana,0,19.57,1957,6.504288,1.442202,2011,0.187,0.157,0.258,1.128396,0.6,1,1
GIN,Guinea,0,19.58,1958,6.180017,1.442202,2011,0.011,0.69,0.001,0.322422,0.45,1,1
GMB,"Gambia, The",0.6666667,19.65,1965,7.293018,1.442202,2011,0.019,0.848,0.004,0.7713041,0.25,1,1
GNB,Guinea-Bissau,0.3333333,19.73,1973,5.103883,1.442202,2011,0.102,0.383,0.006,0.497128,0.75,1,1
GNQ,Equatorial Guinea,0.0333333,19.68,1968,,0.4054651,5001,0.7130001,0.005,0.049,2.642492,0.25,1,1
GRC,Greece,0,18.21,1821,,2.048718,1058,0.004,0.015,0.001,3.325555,1,1,0
GRD,Grenada,,19.74,1974,,0.3784365,5001,,,,2.297351,,1,1
GTM,Guatemala,0,18.21,1821,4.26268,0.4317825,5001,0.94,0,0.049,1.791016,0.9,1,1
GUY,Guyana,0.8666667,19.66,1966,3.471345,-1.546463,5001,0.18,0.09,0.18,2.297351,0.8,1,1
HND,Honduras,0.3666667,18.21,1821,4.35799,0.4317824,5001,0.958,0.001,0.026,1.239843,0.85,1,1
HTI,Haiti,0,18.04,1804,4.867535,0.2776319,5001,0.826,0,0.128,0.3584127,0.4,1,1
HUN,Hungary,0.3333333,18,1800,,2.605422,2009,0.539,0,0.216,2.666542,0.9,1,0
IDN,Indonesia,0.7333333,19.45,1945,5.135798,1.453499,3002,0.027,0.434,0.011,1.729825,0.85,1,1
IND,India,1,19.47,1947,3.884241,3.165475,1066,0.013,0.116,0.048,1.244725,0.95,1,1
IRL,Ireland,1,19.21,1921,,2.452101,1070,0.953,0,0.011,3.733696,0.9,1,0
IRN,Iran,0,18,1800,,2.079442,3002,0.001,0.979,0,2.122077,0.65,1,0
IRQ,Iraq,0.1666667,19.32,1932,,2.429218,3002,0.018,0.958,0,0.7654872,0.05,1,0
ISL,Iceland,1,19.18,1918,,4.094345,1001,0.007,0,0.966,3.455848,1,1,0
