Country Name,Country Code,Series Name,Series Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
India,IND,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,1.24,..,..,..,..,1.52,..,..,..,..,1.87,..,..,..,..,2.39,..,..,..,..,2.96,..,..,..,..,3.51,..,..,..,..,4.41,..,..,..,..,4.82,..,..,..,..,5.39,..,..,..,..,..,..,..,..,..,..
"Iran, Islamic Rep.",IRN,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,1.17,..,..,..,..,1.63,..,..,..,..,2.3,..,..,..,..,3.21,..,..,..,..,4.22,..,..,..,..,5.26,..,..,..,..,6.22,..,..,..,..,7.03,..,..,..,..,8.17,..,..,..,..,..,..,..,..,..,..
Iraq,IRQ,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,0.65,..,..,..,..,1.02,..,..,..,..,1.61,..,..,..,..,2.27,..,..,..,..,3.19,..,..,..,..,4.17,..,..,..,..,5.04,..,..,..,..,5.84,..,..,..,..,6.38,..,..,..,..,..,..,..,..,..,..
Jordan,JOR,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,2.25,..,..,..,..,2.77,..,..,..,..,3.06,..,..,..,..,4.07,..,..,..,..,5.25,..,..,..,..,6.71,..,..,..,..,7.72,..,..,..,..,8.49,..,..,..,..,9.21,..,..,..,..,..,..,..,..,..,..
Mexico,MEX,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,2.89,..,..,..,..,3.33,..,..,..,..,3.92,..,..,..,..,4.8,..,..,..,..,5.56,..,..,..,..,6.48,..,..,..,..,7.11,..,..,..,..,7.89,..,..,..,..,8.33,..,..,..,..,..,..,..,..,..,..
Nepal,NPL,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,0.25,..,..,..,..,0.44,..,..,..,..,0.63,..,..,..,..,1.24,..,..,..,..,2.02,..,..,..,..,2.24,..,..,..,..,2.37,..,..,..,..,2.8,..,..,..,..,3.31,..,..,..,..,..,..,..,..,..,..
Nicaragua,NIC,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,2.65,..,..,..,..,2.88,..,..,..,..,3.21,..,..,..,..,3.63,..,..,..,..,4.09,..,..,..,..,4.56,..,..,..,..,5.08,..,..,..,..,5.46,..,..,..,..,6,..,..,..,..,..,..,..,..,..,..
Oman,OMN,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Papua New Guinea,PNG,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,0.94,..,..,..,..,0.96,..,..,..,..,1.25,..,..,..,..,1.78,..,..,..,..,2.32,..,..,..,..,2.92,..,..,..,..,3.26,..,..,..,..,3.55,..,..,..,..,3.95,..,..,..,..,..,..,..,..,..,..
Pakistan,PAK,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,1.31,..,..,..,..,1.55,..,..,..,..,1.75,..,..,..,..,2.09,..,..,..,..,2.28,..,..,..,..,2.77,..,..,..,..,3.27,..,..,..,..,4.51,..,..,..,..,4.45,..,..,..,..,..,..,..,..,..,..
